'AATTTA' occurs 1470 times.
Found at index: 2460575
Found at index: 4209926
Found at index: 2241855
Found at index: 1284851
Found at index: 487155
Found at index: 475262
Found at index: 5001266
Found at index: 2329434
Found at index: 3588244
Found at index: 1057378
Found at index: 1492070
Found at index: 1941160
Found at index: 4198267
Found at index: 3297585
Found at index: 3055141
Found at index: 1558975
Found at index: 4474996
Found at index: 1911862
Found at index: 1909088
Found at index: 4440390
Found at index: 1601074
Found at index: 3692213
Found at index: 388107
Found at index: 2807171
Found at index: 428994
Found at index: 3523994
Found at index: 3660227
Found at index: 607780
Found at index: 1745065
Found at index: 1423064
Found at index: 4059366
Found at index: 578197
Found at index: 3346533
Found at index: 712983
Found at index: 4223291
Found at index: 3304185
Found at index: 4430782
Found at index: 1562319
Found at index: 5109807
Found at index: 4343301
Found at index: 3049834
Found at index: 2258366
Found at index: 1955736
Found at index: 3343984
Found at index: 3405794
Found at index: 2838653
